rating,review
__label__5 ,hurtigtnemt og klar respons på mit spørgsmål.god og kvik service :)
__label__5 ,hurtig og professionel tilbagemelding ang. spørgsmål vedr.contour mus.
__label__5 ,super godvh/hoang
__label__5 ,service ud over det sædvanlige. ting virker bare ... man kontakter demog får straks aha-oplevelser. jeg har kun erfaring med en musmen alt var som det skulle være. underlig driverdog.
__label__5 ,jeg fik meget mere end jeg havde forventet. jeg fandt et trådløst tastatur i et skab uden e t usb stik. ringede til contour design og fik helt uden omkostninger monteret et nyt usb stikså jeg kan brug mit tastatur nu. så det fungere perfekt.
__label__5 ,jeg har fået en meget venlig og hjælpsom behandling af carsten ved telefonisk support hos contour design .
__label__5 ,hurtig og kompetent hjælp over telefonen - og da det ikke var nok til at løse problemetsendte de uden videre en ny. perfekt!
__label__5 ,super fin hjælp og guide over telefonen. og efterflg. rigtig god nytte af de produkterjeg fik anbefalet og sendt til prøvning
__label__5 ,jeg har handlet hos contour design og været meget glad for mit produkt - en rullemus. for nylig fik jeg lidt selvforskyldte udfordringer med rullemusen og henvendte mig for hjælp. jeg fik lynhurtigt svar og hjælp er på vej med posten. virkelig god service og super godt produkt!
__label__5 ,fuldstændig fantastisk service.jeg havde egentlig afskrevet mit ellers meget lækre keyboard (nogle taster fungerede ikke længere)bruger det hver evig eneste dag og i mange timer skrev til contour den 14/6 og i dag 16/6 er der lige dumpet et nyt keyboard ind ad døren. tusind tak til contour - jeg er glad :)
__label__5 ,så fantastisk en service! :)
__label__5 ,super service. havde en rollermouse hvor den ene knap var løs og satte sig fast. en lille mail til kundeservice og dagen efter havde jeg et sæt nye knapper og en fin instruktion i at sætte de nye knapper i. og så endda med en lille personlig hilsen. jeg er fan :)
__label__5 ,jeg bruger red plus rullemusen til dagligmen efter års slid begyndte den ene knap at sidde løss. jeg skrev til contour og fik et nyt klikker-sæt sendt hjem dagen efter. det er helt vildt at så god kundeservice stadig findes!
__label__5 ,behagelig og nem at bruge rollermouse - og sød og imødekommende supportnår man søger hjælp tilhvilken man skal vælge. dog en advarsel: når først man har prøvet rollermousengider man ikke gå tilbage til normal mus ;)
__label__4 ,hjælpen var hurtig og jeg fik til sidst løst problemetmen det var sådan set min egen løsning ...
__label__5 ,jeg har fået den bedste service og den bedste hjælp.
__label__5 ,hurtig reaktion - reel hjælp!
__label__5 ,hurtigt reaktion - og god løsning på vores problem
__label__5 ,der er hurtig leveringog super lækkert tastatur og roller mouseer pjattet med at man har mulighed for at prøve det af før man beslutter sig for endeligt køb.
__label__5 ,klart 5 stjernerjeg kontaktede et firma der solgte kontorartiklerde samarbejder med contour design. sælgeren anbefalede mig contour design rollermouse og talte varmt om produktet. hun spurgte om jeg ikke ville prøve detjeg kunne får det hjem på prøve i 14 dage og var jeg ikke tilfredslå der en returlabel jeg kunne bruge til og sende tastatur og mus tilbage til contour. derefter tog contour design overder gik ikke et døgn så modtog jeg en mail at nu var pakken på vej.jeg er rigtig glad for min rollermouse og tastaturdet skulle jeg have investeret i for mange år siden. servicen og hurtigheden var helt i top hos contour designog det med at de låner deres produkter udviser hvor stor tiltro de har til at deres produkt er godt og det fik mig til og tænke at så må der jo være noget om det. jeg er ikke blevet skuffethverken over produkterkundeservice eller hurtighedklart anbefalelsesværdigt
__label__4 ,der manglede en dansk/nordisk brugervejledning.
__label__5 ,superfede produkter der gør en kæmpe forskel i hverdagenvirkelig gode manualer og trouble shooting skemaerder gør det nemt at udskifte dele selv hvis det skulle være nødvendigtplus lynhurtig support.kæmpe anbefaling herfra.
__label__5 ,problem med driver løstfik tilsendt ny beta version af driver som løste mit problem med at bytte om på rollermouse knapperne.
__label__1 ,hejjeg forsøgte at købe nogle rollermouse til min virksomhedog efter lang tid med at ringe forgævesvar der pludselig kontakt til contourdesign. er det en virksomhed med kun 1 ansat ???? og så kom dagen hvor en af deres sælgere skulle komme forbimen ingen kom på det aftalte tidspunkt... dejligt når man aflyser møder for at se om denne gestalt kan hjælpe os kontor-mus i dagligdagen... contourdesign virker uprofessionel og ligeglad med os kunder...
__label__5 ,da jeg er hypermobil og ikke kan benytte en normal muskøbte jeg for et stykke tid siden en rollermouse free fra contour. jeg havde dog brug for at deaktivere rullestangens klikfunktionhvilket viste sig ikke at muligt på denne model. så jeg ringede til contours filip bitschder såmænd fandt ud af at deaktivere klikfunktionen på en rollermouse freesom han havde liggende. derefter sendte han den til mig kvit og frit. det må man da kalde service! :-)derudover har jeg tidligere løbende haft brug for hjælp til installation af rollermouse free på vista og er hver gang blevet mødt af et meget venligt og kompetent personale. topkarakter herfra! :-)
__label__5 ,imponerende hurtig svar og løsning af henvendelse. udsøgt service!
__label__5 ,hurtig og professionelsupport til brug af deres produkter.
__label__5 ,nemt t fejlmelde og hurtig levering af erstatning for defekt tastatur. kan ikke gøres bedre.
__label__3 ,synes måde at tænde for tastaturet kunne være bedre. man kan blive i tvivl om man har tændt det. desuden synes jeg det er bøvlet at man skal slå f-tasterne til og fra for at bruge lommeregnerfunktionen.
__label__5 ,blev guidet godt.
__label__5 ,jeg synes det er en super service i giver for at man kan prøve noget udstyr af for at finde ud af om det er det som vi skal bruge.
__label__5 ,fin service ved henvendelse. fik godt og brugbart svar inden for 24 timer.
__label__5 ,fantastisk at kunne prøve produktet af inden køb
__label__5 ,service fin. savner min gamle rollermouse classicmen kommer igennem med en free.
__label__5 ,kontaktede support ang. køb af pude til håndstøttesom var gået i stykker. jeg fik at vide at der ikke fandtes sådan en reservedel til min rollermouse free3 og det endte med den blev ombyttet.
__label__5 ,meget imødekommendehurtig hjælp.
__label__5 ,bedre service finder man ikke. hurtigt svar og hurtig levering.
__label__1 ,contourdesign kører snart en kampagnehvor man kan få et gavekorthvis man ødelægger sin eksisterende mus og samtidig køber et produkt af dem.i disse tider hvor vi i stedet bør have fokus på klimamiljø og genbrug må det i den grad siges at være en kampagnesom giver dårlig smag i munden.update februar 2020: contourdesign påstår at have haft en mailkorrespondance med migmen det har de ikke.
__label__5 ,virkelig god kunde service.jeg skrev frem og tilbage pga. jeg havdekøbt produkt igennem demmen at jeg kunne mærke det var en anden håndstøtte jeg skulle bruge. så ringede de til migog vi snakkede frem og tilbage og uden tøvensendte de migdet håndstøtte de mente jeg skulle broige
__label__5 ,vild god service. skrev via deres formular en fejlmeddelelse omkring min rollermouse pro 3. den var 1 år gammelog næsten med det samme kom der svar tilbage at de mente den var kortsluttet. og med det samme kom der besked om at de havde sendt en ny med gls og retur label til den gamle. det kalder jeg god service:-)
__label__5 ,hurtig levering og super service med korrekt anbefaling
__label__5 ,fantastisk god service ud over det sædvanlige.hurtig ekspedition....... fik mine varer dagen efter bestilling direkte leveret til døren. jeg kan varmt anbefale contour design. kan ikke mindes jeg har fået så god service nogen steder før :)
__label__5 ,fantastisk service - hurtig og professionel håndtering.
__label__5 ,der var problemer med et keyboard som win10 ikke ville genkende ved boot. skrev til contours support 9:2310:05 havde jeg fået svaren ping-pong senere og kl 10:54 var jeg videre med et firmware opdateret keyboard. super produktersuper servicebum!
__label__5 ,super god og hurtig support. havde defect rollermouse og fik hurtigt tilsendt en nysom virker perfekt.
__label__5 ,jeg bruger beta-test driveren til min unimouse og har i den forgangne ugehvor jeg har haft den installeretikke set problemer af nogen art. måske er det tid at frigive den ;)tak regitze for fremragende support og for muligheden at teste med beta'en.
__label__5 ,super god service. jeg havde mistet min dongle til min roller mouse og de sendte en ny med det samme uden beregning.
__label__5 ,jeg havde bestilt rollermouse og tastatursom jeg ikke kunne få til at fungere sammen. jeg sendte en besked via deres hjemmesideog jeg blev hurtigt kontaktet af en supersødhjælpsom og kompetent medarbejdersom blev i røret til problemet var løst. hun eftersendte også en ekstra dongleda der muligvis var problemer med den der fulgte med varen. meget tilfreds med contour designs service.
__label__5 ,min oplevelse med contur var / er overraskende .jeg har mistet min dongle/receiver og de har sent mig nyt hurtigt.jeg er glad for det fordi jeg kan brug min mus igen!tak igen !!!
__label__5 ,produkterne er i topog det er servicen også 
__label__5 ,jeg er ovenud tilfreds med både produkt og især behandlingda jeg reklamerede over en mussom ikke virkede efter 19 måneders brug.
__label__5 ,fremragende kundeservice. havde problemer med en ½ år gammel rollermouse. fik en ny tilsendt efter et par dage.
__label__4 ,fantastisk kundeservicesødebehageligehjælpsomme og sendte nyt produkt uden bøvl. de var bare utrolig langsomme til rent faktisk at få det afsendt. (en hel uge fra vi sender et nyt til nu er pakken sendt. )
__label__4 ,super produkt. lidt besværlig opsætning pga manglende parring som man ikke kunne læse sig til i manualmen måtte på nettet eller via support efter. support hjalp til gengæld hurtigt og effektivtmed vejledning og links.
__label__5 ,hurtig og kompetent rådgivning og hjælp. og så er jeg bare superglad og kæmpefan af min rollermouse red plus og det tilhørende balance board
__label__5 ,tak for god support. det var lige den hjælp jeg havde brug for
